书名,作者,分类,豆瓣评分,百度网盘提取码,百度云盘链接
职场情书：最创意的求职简历,劳博,广告_营销_销售,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1pLS5UmZ
做单：成交的秘密,胡震生,广告_营销_销售,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1cFzhZg
27位中国名女人的赚钱智慧,张亿,广告_营销_销售,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1slEoqK1
世界上最神奇的36堂课,查尔斯·哈奈尔,广告_营销_销售,6.9,百度网盘(提取码:6666),https://pan.baidu.com/s/1Y5f-d416snMPTrVFB7n9zg
世界上最伟大的推销员,奥格·曼狄诺,广告_营销_销售,7.9,百度网盘(提取码:6666),https://pan.baidu.com/s/1ctQWSIrsrNvIXKZoJLZXyQ
疯传：让你的产品、思想、行为像病毒一样入侵,乔纳•伯杰,广告_营销_销售,7.2,百度网盘(提取码:6666),https://pan.baidu.com/s/17lMwJz0N00KeeI6tOXY3Jg
魔鬼营销,李光斗,广告_营销_销售,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1c25QiKK
突破销售困难,章伟,广告_营销_销售,1,百度网盘(提取码:6666),https://pan.baidu.com/s/1vFGbloSR5Uq7gLKP-IPs8Q
参与感：小米口碑营销内部手册,黎万强,广告_营销_销售,7.5,百度网盘(提取码:6666),https://pan.baidu.com/s/13Needuz6kJYHJfLPHNHWdw
你其实不懂广告学,刘伟,广告_营销_销售,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1o8M0GOU
底线：王牌业务销售特训手册,宋孟林,广告_营销_销售,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1o7IMW9k
汽车销售的第一本书,孙路弘,广告_营销_销售,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1jINUQj0
你其实不懂销售谈资课,海波,广告_营销_销售,5.3,百度网盘(提取码:6666),https://pan.baidu.com/s/1WrGgaf9DODWBXOaG83qLpQ
如何化解客户的拒绝,南山,广告_营销_销售,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1hrY8ehu
从“菜鸟”到销售总监,路路,广告_营销_销售,5.2,百度网盘(提取码:6666),https://pan.baidu.com/s/1e_min8hIX5OIRu0hBUcx4Q
媒介理论前沿,邵培仁,广告_营销_销售,6,百度网盘(提取码:6666),https://pan.baidu.com/s/1X34-a7A-qkWqo0uMJv6HMQ
电话销售圣经,李源快,广告_营销_销售,1,百度网盘(提取码:6666),https://pan.baidu.com/s/1B1ZMgrrdrpzsQTTWz8145w
练摊帝：赚钱是一门技术活,练摊帝,广告_营销_销售,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1jIAxR5W
品牌洗脑：世界著名品牌只做不说的营销秘密,马丁·林斯特龙,广告_营销_销售,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1c2j5z3a
金牌推销员的成功话术,一鸣,广告_营销_销售,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1mhXJGzm
经销商管理动作分解培训,魏庆,广告_营销_销售,8.3,百度网盘(提取码:6666),https://pan.baidu.com/s/1k72TLp6q5eHEwI2RlLdkmA
九型人格销售经,魏凤莲,广告_营销_销售,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1qYuCldE
董明珠：倔强营销的背后,郭宏文,广告_营销_销售,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1skP22fF
史玉柱自述：我的营销心得,优米网,广告_营销_销售,8,百度网盘(提取码:6666),https://pan.baidu.com/s/16VJlA_ZNd-9BM2PQbfTK6A
让创意更有黏性：创意直抵人心的六条路径,奇普·希思,广告_营销_销售,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1i4AiwWP
公关心理学(第4版),张云,广告_营销_销售,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1jIbQ6z0
公关共和国,吴锦屏,广告_营销_销售,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1cj8wFk
公关策划,赵驹,广告_营销_销售,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1c2xH04o
重新理解媒介,陈世鸿,广告_营销_销售,0,百度网盘(提取码:6666),http://pan.baidu.com/s/1qY2cGHY
