书名,作者,分类,豆瓣评分,百度网盘提取码,百度云盘链接
去当你想当的任何人吧,伊丽莎白·吉尔伯特,自我管理,7.9,百度网盘(提取码:6666),https://pan.baidu.com/s/1ifcQrqSNCRKNZXTlDOdMvw
吃货的50种情绪减肥法：轻松幸福的瘦身之旅,苏珊•阿尔伯斯,自我管理,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1dIqAxl7t4xjaQKVWRHOGdw
目标感：28天养成卓越人士的思维和行动模式,Phil Olley,自我管理,6.5,百度网盘(提取码:6666),https://pan.baidu.com/s/1Y3Fshv9tzAmbpn47FKzsSw
8020法则,理查德·科克,自我管理,7.3,百度网盘(提取码:6666),https://pan.baidu.com/s/1RK52NjDbNeQU4_eem92IZQ
打破自我的标签,陈虎平,自我管理,7.7,百度网盘(提取码:6666),https://pan.baidu.com/s/1S_V2KG6Ko6Ka5OyX9pFrsQ
30岁趁势而为,陈愉,自我管理,0,百度网盘(提取码:6666),https://pan.baidu.com/s/11LX92fIAaEDXAAI_EtvXlw
极简思考：来自世界顶尖咨询公司的高效工作法,迈克·费廖洛,自我管理,7.5,百度网盘(提取码:6666),https://pan.baidu.com/s/1ta4PW-49bAZckB1IOfV_kA
掌控：开启不疲惫、不焦虑的人生,张展晖,自我管理,7.8,百度网盘(提取码:6666),https://pan.baidu.com/s/1JtLl5eZlfhC0dq7DAlYLIQ
认知迭代：自由切换大脑的思考模式,卡罗琳•威廉姆斯,自我管理,7.3,百度网盘(提取码:6666),https://pan.baidu.com/s/10yrj9e17W4_rWhUAGM_pfQ
做自己人生的CEO：人人都需要的管理术,崔璀,自我管理,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1J2z3FsycSzRCiBMo6uGvLQ
搞定：无压工作的艺术时间管理+提升工作+平衡工作与生活的艺术美（共三册）,戴维·艾伦,自我管理,8.3,百度网盘(提取码:6666),https://pan.baidu.com/s/1TFqAL1F63hegVCbIBISpxQ
逆转思维,姚颖,自我管理,1,百度网盘(提取码:6666),https://pan.baidu.com/s/1Jogx4IcZTDczYH-tdvuvEQ
巨人的工具,蒂姆·费里斯,自我管理,7.5,百度网盘(提取码:6666),https://pan.baidu.com/s/1UNYdFvpkYprhdHfs5L2mNA
时间整理术,牛婧,自我管理,5.3,百度网盘(提取码:6666),https://pan.baidu.com/s/1Fz0R-mJ3V0zg4fWrOiCCHw
斯坦福的完美睡眠法,西野精致,自我管理,6.6,百度网盘(提取码:6666),https://pan.baidu.com/s/1I00oTWTN-1xkogpM1ZGzSA
学习力：颠覆职场学习的高效方法,王世民,自我管理,8.1,百度网盘(提取码:6666),https://pan.baidu.com/s/1MbpJ0OBcclMHh3hqdXww0w
自信思考：你的自信不需要任何根据,泉忠司,自我管理,7.6,百度网盘(提取码:6666),https://pan.baidu.com/s/1NVLXd3BrNS1LUCi4zUC3_A
六西格玛管理学,远平,自我管理,7.1,百度网盘(提取码:6666),https://pan.baidu.com/s/1v_5fXkva0C-mIettnQx7Lw
董卿：做一个有才情的女子,乔瑞玲,自我管理,4.6,百度网盘(提取码:6666),https://pan.baidu.com/s/1A7to9n0ovZxgYCH33pvQYw
女孩们,艾玛·克莱因,自我管理,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1LnQQGM1pEZZetqkEKPb1gQ
辛雷学习方法,辛雷,自我管理,6.5,百度网盘(提取码:6666),https://pan.baidu.com/s/1I4Ib8ZhGoiVoG7Z2Owgt5Q
博赞创新思维技巧,东尼·博赞,自我管理,0,百度网盘(提取码:6666),https://pan.baidu.com/s/1MPwvWmWumETFihMLmkR65Q
我每天只工作3小时：押井守的角色学,押井守,自我管理,7.2,百度网盘(提取码:6666),https://pan.baidu.com/s/1a07rj7tlU7qQOVeT4pElcA
反本能+深度思维+个体赋能,卫蓝,自我管理,7.1,百度网盘(提取码:6666),https://pan.baidu.com/s/1r6qK3O0MADV6l24jGPWZzQ
麦肯锡教我的思考武器：从逻辑思考到真正解决问题,安宅和人,自我管理,7.6,百度网盘(提取码:6666),https://pan.baidu.com/s/1sEbYJry33HZ6Y7MGAvh4Qw
